Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-09 04:50:31",eArL694412,86d76185-e600-4899-aef5-98f19772374e,Streets,Extraction,"Ranked Arena",CrossPlay,Open,994,,Loss,56.59,4665,4366,182,103,79,1.07,2.33,16,15,4,0,0,11,13,2200,0,8,535
"2023-11-09 05:01:18",eArL694412,af2eb812-d693-4cec-90c6-a8907306163f,Forbidden,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,986,,Win,53.85,3968,3308,195,105,90,1.56,6.66,14,9,5,0,0,11,11,2050,0,4,553
"2023-11-09 05:12:34",eArL694412,ce1810de-ea95-4d7c-aef7-13a93c5a4a49,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,994,,Win,54.59,5283,3759,218,119,99,1.50,8.00,15,10,9,0,0,15,14,2450,0,4,550
"2023-11-09 05:28:21",eArL694412,6bcb1581-04e4-415d-a15d-155af6cb2574,Streets,Oddball,"Ranked Arena",CrossPlay,Open,1002,,Loss,54.83,5657,5051,259,142,117,1.00,3.33,18,18,10,0,0,16,18,2420,0,7,728
"2023-11-09 05:44:00",eArL694412,3938e327-8517-4ff5-a188-b12570159b06,Solitude,"King of the Hill","Ranked Arena",CrossPlay,Open,994,,Loss,48.68,7384,5819,304,148,156,1.56,14.66,28,18,14,0,0,20,21,3600,0,16,789
"2023-11-09 06:05:02",eArL694412,9bc0b1db-aedb-4ea4-a2d7-15218c2db472,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,987,,Win,45.92,6721,6624,294,135,159,1.00,4.00,17,17,12,0,0,21,20,2615,0,9,898
"2023-11-09 06:22:35",eArL694412,78c002f7-a9bb-4109-a980-933583cf43b3,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,994,,Loss,54.12,4353,3681,170,92,78,0.69,-2.66,9,13,4,0,0,9,11,1100,0,5,464
"2023-11-09 06:34:56",eArL694412,1ed52ddb-927b-4804-ae59-89d5b02c05ec,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,986,,Win,50.55,8335,7880,362,183,179,1.41,12.00,31,22,9,0,0,25,23,4025,0,14,920
"2023-11-09 06:51:28",eArL694412,f2f9874d-dfbf-410b-88ea-1b8154910dde,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,994,,Loss,51.22,2821,3218,123,63,60,0.46,-6.33,6,13,2,0,0,10,10,750,0,3,392
"2023-11-09 06:59:15",eArL694412,4850d1a1-36e9-4f06-bc5a-8eb52c556771,Aquarius,"CTF 5 Captures","Ranked Arena",CrossPlay,Open,985,,Left,50.39,5650,4830,258,130,128,1.00,3.00,17,17,9,0,0,12,16,2325,0,5,755
